Majors,Terms in Attendance
Letters & Sci Undeclared UG,3
Data Science BA,5
Letters & Sci Undeclared UG,3
Data Science BA,5
Industrial Eng & Ops Rsch BS,5
Electrical Eng & Comp Sci MEng,G
Letters & Sci Undeclared UG,5
Letters & Sci Undeclared UG,3
Computer Science BA,5
Letters & Sci Undeclared UG,5
Letters & Sci Undeclared UG,3
Info Mgmt & Systems MIMS,G
Electrical Eng & Comp Sci MEng,G
Economics BA,7
Data Science BA,7
Letters & Sci Undeclared UG,3
"Data Science BA, Genetics & Plant Biology BS",5
Data Science BA,5
"Business Administration BS, Letters & Sci Undeclared UG",5
Applied Mathematics BA,5
Physics BA,7
"Cognitive Science BA, Nutritional Science BS",5
Letters & Sci Undeclared UG,5
Computer Science BA,7
Letters & Sci Undeclared UG,5
Economics BA,7
Economics BA,7
Letters & Sci Undeclared UG,5
Philosophy BA,7
Letters & Sci Undeclared UG,5
Letters & Sci Undeclared UG,3
Electrical Eng & Comp Sci BS,7
Electrical Eng & Comp Sci BS,5
Applied Mathematics BA,7
Letters & Sci Undeclared UG,3
Applied Mathematics BA,5
"Cognitive Science BA, Computer Science BA",7
Civil & Environmental Eng PhD,G
Cognitive Science BA,7
Spanish and Portuguese BA,5
Data Science BA,5
Computer Science BA,3
"Economics BA, Statistics BA",7
Computer Science BA,3
Letters & Sci Undeclared UG,7
Letters & Sci Undeclared UG,3
Computer Science BA,5
Letters & Sci Undeclared UG,3
Chemical Engineering BS,7
Electrical Eng & Comp Sci MEng,G
Non-UC Campus Visitor L&S UG,5
Letters & Sci Undeclared UG,5
Computer Science BA,7
Computer Science BA,8
Bioengineering BS,7
Cognitive Science BA,5
Letters & Sci Undeclared UG,3
Data Science BA,3
Economics BA,7
Letters & Sci Undeclared UG,7
Elec Eng & Comp Sci 5th Yr MS,G
Data Science BA,7
Letters & Sci Undeclared UG,3
Letters & Sci Undeclared UG,7
Data Science BA,5
Letters & Sci Undeclared UG,7
Data Science BA,3
Letters & Sci Undeclared UG,5
Civil Engineering BS,5
Statistics MA,G
Letters & Sci Undeclared UG,3
Chemical Engineering BS,7
Letters & Sci Undeclared UG,8
Letters & Sci Undeclared UG,5
"Chemical Engineering BS, Letters & Sci Undeclared UG",5
Letters & Sci Undeclared UG,3
Data Science BA,7
Letters & Sci Undeclared UG,3
Data Science BA,5
CNR Undeclared UG,5
Political Science BA,7
Electrical Eng & Comp Sci BS,3
Development Engineering MDE,G
Electrical Eng & Comp Sci MEng,G
Letters & Sci Undeclared UG,5
"Business Administration BS, Media Studies BA",7
Data Science BA,7
Computer Science BA,5
Economics BA,7
"Computer Science BA, Data Science BA",7
Letters & Sci Undeclared UG,3
Environ Econ & Policy BS,5
Philosophy BA,5
Data Science BA,5
Economics BA,5
Letters & Sci Undeclared UG,5
Letters & Sci Undeclared UG,5
Computer Science BA,5
Economics BA,7
Bioengineering BS,8
Letters & Sci Undeclared UG,3
"Economics BA, Psychology BA",8
History of Art BA,7
Letters & Sci Undeclared UG,5
Letters & Sci Undeclared UG,5
Computer Science BA,5
Letters & Sci Undeclared UG,3
"Business Administration BS, Electrical Eng & Comp Sci BS",5
Letters & Sci Undeclared UG,5
