disc_score,overall_score
13.0,86.0
13.0,85.0
3.0,89.0
9.0,87.0
13.0,81.0
2.0,89.0
10.0,71.0
3.0,83.0
9.0,72.0
13.0,74.0
1.0,67.0
13.0,79.0
,86.0
13.0,86.0
11.0,79.0
12.0,83.0
6.0,92.0
1.0,87.0
11.0,84.0
6.0,83.0
5.0,83.0
2.0,80.0
1.0,78.0
13.0,83.0
1.0,89.0
1.0,83.0
2.0,85.0
13.0,84.0
11.0,74.0
14.0,85.0
8.0,76.0
13.0,73.0
9.0,80.0
1.0,82.0
13.0,74.0
12.0,60.0
9.0,85.0
13.0,85.0
13.0,67.0
11.0,82.0
12.0,88.0
10.0,77.0
11.0,89.0
9.0,75.0
1.0,3.0
9.0,92.0
9.0,87.0
11.0,84.0
12.0,66.0
12.0,86.0
7.0,80.0
12.0,65.0
10.0,87.0
1.0,69.0
12.0,89.0
11.0,78.0
10.0,37.0
12.0,91.0
12.0,81.0
12.0,91.0
9.0,88.0
11.0,66.0
12.0,88.0
12.0,83.0
12.0,88.0
14.0,89.0
,69.0
11.0,82.0
3.0,65.0
13.0,81.0
14.0,86.0
9.0,83.0
2.0,66.0
7.0,79.0
5.0,87.0
5.0,93.0
10.0,92.0
12.0,88.0
8.0,74.0
10.0,91.0
1.0,73.0
14.0,81.0
13.0,73.0
12.0,91.0
3.0,66.0
13.0,90.0
10.0,68.0
11.0,77.0
9.0,85.0
13.0,87.0
13.0,75.0
9.0,81.0
12.0,64.0
2.0,78.0
13.0,86.0
13.0,76.0
12.0,83.0
6.0,75.0
13.0,90.0
11.0,76.0
4.0,82.0
13.0,72.0
12.0,85.0
12.0,89.0
13.0,85.0
12.0,75.0
13.0,89.0
1.0,6.0
13.0,77.0
14.0,92.0
12.0,79.0
11.0,65.0
11.0,73.0
6.0,92.0
11.0,86.0
5.0,65.0
9.0,55.0
11.0,62.0
14.0,90.0
11.0,89.0
1.0,69.0
13.0,92.0
9.0,81.0
14.0,94.0
9.0,94.0
1.0,80.0
4.0,91.0
1.0,58.0
9.0,90.0
13.0,86.0
3.0,75.0
11.0,70.0
2.0,61.0
4.0,59.0
5.0,58.0
14.0,86.0
14.0,83.0
4.0,85.0
8.0,56.0
10.0,85.0
1.0,96.0
3.0,85.0
8.0,89.0
13.0,78.0
14.0,72.0
13.0,88.0
1.0,85.0
3.0,94.0
3.0,68.0
4.0,64.0
12.0,82.0
13.0,85.0
13.0,72.0
12.0,83.0
2.0,77.0
3.0,78.0
10.0,82.0
12.0,88.0
11.0,78.0
12.0,79.0
12.0,77.0
11.0,87.0
12.0,79.0
1.0,79.0
12.0,79.0
10.0,83.0
11.0,88.0
13.0,73.0
8.0,83.0
12.0,79.0
14.0,70.0
8.0,93.0
14.0,87.0
10.0,95.0
9.0,62.0
11.0,90.0
11.0,77.0
12.0,86.0
1.0,86.0
1.0,91.0
,92.0
8.0,82.0
13.0,89.0
8.0,74.0
4.0,83.0
9.0,65.0
10.0,90.0
11.0,91.0
2.0,86.0
9.0,82.0
3.0,88.0
6.0,91.0
11.0,90.0
1.0,89.0
14.0,83.0
2.0,68.0
12.0,92.0
4.0,64.0
13.0,90.0
9.0,82.0
13.0,83.0
13.0,96.0
11.0,89.0
12.0,83.0
3.0,73.0
5.0,78.0
13.0,87.0
13.0,77.0
3.0,85.0
3.0,65.0
6.0,73.0
2.0,85.0
14.0,81.0
2.0,62.0
12.0,84.0
13.0,68.0
8.0,72.0
10.0,86.0
14.0,70.0
,71.0
1.0,69.0
1.0,45.0
7.0,85.0
6.0,80.0
2.0,88.0
6.0,86.0
2.0,89.0
12.0,96.0
1.0,84.0
3.0,74.0
13.0,72.0
2.0,64.0
11.0,76.0
7.0,70.0
6.0,74.0
12.0,88.0
4.0,70.0
14.0,94.0
6.0,92.0
10.0,86.0
4.0,91.0
,89.0
9.0,78.0
11.0,80.0
9.0,79.0
13.0,89.0
13.0,75.0
8.0,83.0
12.0,88.0
1.0,82.0
12.0,86.0
12.0,85.0
12.0,93.0
6.0,83.0
9.0,77.0
,55.0
10.0,89.0
12.0,80.0
8.0,88.0
14.0,89.0
14.0,87.0
5.0,62.0
9.0,85.0
11.0,77.0
5.0,79.0
,86.0
4.0,85.0
,74.0
9.0,92.0
3.0,75.0
8.0,81.0
4.0,83.0
13.0,92.0
2.0,3.0
3.0,81.0
13.0,83.0
13.0,82.0
12.0,92.0
13.0,68.0
2.0,97.0
9.0,74.0
11.0,73.0
1.0,91.0
,76.0
11.0,85.0
11.0,76.0
13.0,86.0
2.0,85.0
12.0,79.0
8.0,63.0
11.0,84.0
9.0,92.0
10.0,60.0
13.0,87.0
11.0,84.0
6.0,81.0
3.0,65.0
9.0,76.0
11.0,81.0
6.0,63.0
12.0,92.0
4.0,85.0
14.0,81.0
7.0,82.0
7.0,43.0
12.0,85.0
13.0,79.0
12.0,80.0
13.0,86.0
11.0,81.0
,87.0
,91.0
13.0,64.0
11.0,93.0
12.0,81.0
14.0,78.0
12.0,94.0
3.0,81.0
11.0,91.0
10.0,88.0
12.0,93.0
12.0,86.0
3.0,69.0
11.0,64.0
1.0,63.0
4.0,71.0
13.0,89.0
4.0,79.0
3.0,86.0
10.0,84.0
1.0,61.0
12.0,85.0
10.0,84.0
9.0,65.0
8.0,82.0
13.0,91.0
1.0,90.0
3.0,79.0
12.0,88.0
11.0,90.0
12.0,85.0
11.0,93.0
13.0,72.0
3.0,43.0
12.0,75.0
,87.0
8.0,84.0
11.0,81.0
12.0,94.0
13.0,83.0
13.0,89.0
13.0,86.0
8.0,92.0
13.0,67.0
8.0,57.0
3.0,77.0
1.0,71.0
9.0,93.0
3.0,73.0
2.0,70.0
1.0,86.0
7.0,76.0
12.0,89.0
10.0,82.0
1.0,90.0
14.0,83.0
3.0,86.0
7.0,67.0
14.0,76.0
9.0,88.0
14.0,79.0
1.0,59.0
2.0,85.0
5.0,64.0
